,ID1,AB_Flow,BA_Flow,Tot_Flow
0,4,0,0,0
1,5,238.124331,238.18876,476.313091
2,6,533.886098,533.985898,1067.872
3,7,238.124331,238.18876,476.313091
4,9,363.452673,361.31969,724.772363
5,10,404.182318,385.129638,789.311956
6,11,0,0,0
7,13,0,0,0
8,14,652.584463,645.312685,1297.89715
9,23,77.023963,145.024281,222.048244
10,33,686.928981,608.905347,1295.83433
11,34,126.652351,80.331611,206.983962
12,35,137.965119,209.498843,347.463962
13,36,268.945004,393.743237,662.688241
14,37,17.700405,17.096564,34.796969
15,38,405.947523,387.498684,793.446207
16,39,0,6.463485,6.463485
17,40,1147.60628,806.535845,1954.14212
18,42,258.285628,254.678775,512.964403
19,44,381.864284,370.999027,752.863311
20,49,247.293121,12.578374,259.871495
21,50,345.814708,276.474178,622.288886
22,51,152.970692,117.291403,270.262095
23,52,36.234941,3.355176,39.590117
24,53,162.765473,138.353922,301.119395
25,57,1272.66987,687.843506,1960.51338
26,61,304.569133,753.964496,1058.53363
27,62,219.734321,259.722183,479.456504
28,63,209.246877,808.083375,1017.33025
29,64,987.407229,598.878824,1586.28605
30,65,341.602435,393.808239,735.410674
31,70,1163.7437,215.985798,1379.72949
32,79,129.035859,56.77815,185.814009
33,80,220.679126,766.984033,987.663159
34,90,354.141027,802.493948,1156.63498
35,117,79.045705,33.489112,112.534817
36,118,683.608274,660.980105,1344.58838
37,119,1254.57224,803.070591,2057.64283
38,120,1360.93769,748.418265,2109.35596
39,121,789.175791,448.484247,1237.66004
40,125,82.714086,53.575033,136.289119
41,126,418.00756,100.133815,518.141375
42,141,752.281223,380.992812,1133.27404
43,143,25.012183,2.298919,27.311102
44,144,780.3948,231.301702,1011.6965
45,145,59.12586,21.609496,80.735356
46,148,14.276012,27.194423,41.470435
47,149,2816.55386,740.651726,3557.20559
48,150,727.604847,8.50459,736.109437
49,158,63.197329,41.332248,104.529577
50,161,1343.85174,118.110131,1461.96187
51,163,1199.40444,55.065855,1254.4703
52,164,1000.1625,302.004263,1302.16676
53,167,1676.22798,740.51227,2416.74025
54,168,781.19818,952.099705,1733.29789
55,178,283.262525,113.052831,396.315356
56,190,569.58658,409.361585,978.948165
57,191,296.137036,557.441432,853.578468
58,192,2583.63593,656.045969,3239.6819
59,207,196.947495,308.047613,504.995108
60,212,99.189542,249.393819,348.583361
61,213,2213.9489,1728.16283,3942.11172
62,214,311.011842,135.709439,446.721281
63,215,2107.28323,2056.31559,4163.59882
64,216,2727.98882,1637.37768,4365.3665
65,217,1011.50445,501.557857,1513.06231
66,218,1788.85232,1503.22942,3292.08174
67,221,3037.8342,2703.57382,5741.40802
68,222,2858.15843,2400.32134,5258.47977
69,223,2002.03469,1725.94808,3727.98278
70,224,52.495932,78.138668,130.6346
71,225,1983.34341,1515.61015,3498.95355
72,228,98.326304,72.199518,170.525822
73,229,0,0,0
74,233,1905.20474,1463.11422,3368.31895
75,235,2503.94819,506.653676,3010.60186
76,237,226.650943,171.880047,398.53099
77,238,1785.67226,1463.11422,3248.78648
78,239,2077.25769,1915.87596,3993.13365
79,240,1724.25585,1506.34313,3230.59899
80,241,39.958687,49.293495,89.252182
81,242,45.329602,34.464697,79.794299
82,248,9.563055,0,9.563055
83,249,57.639048,122.049242,179.68829
84,250,167.735217,119.527177,287.262394
85,251,61.076701,60.209967,121.286668
86,252,40.473843,27.853396,68.327239
87,254,4.857004,63.587735,68.444739
88,255,221.410497,169.191899,390.602396
