<NUMBER OF ZONES> 1117
<NUMBER OF NODES> 7466
<FIRST THRU NODE> 1118
<NUMBER OF LINKS> 18710
<END OF METADATA>

~	Tail	Head	Capacity	Length	FFT	B	Power	Speed	Toll	Type	;
	719	1259	100000	316.8	0.24	0.15	4	15	0	1	;
	1259	719	100000	316.8	0.24	0.15	4	15	0	1	;
	909	1260	100000	369.6	0.28	0.15	4	15	0	1	;
	1260	909	100000	369.6	0.28	0.15	4	15	0	1	;
	705	1528	100000	844.8	0.64	0.15	4	15	0	1	;
	1528	705	100000	844.8	0.64	0.15	4	15	0	1	;
	719	1278	100000	422.4	0.32	0.15	4	15	0	1	;
	1278	719	100000	422.4	0.32	0.15	4	15	0	1	;
	705	1577	100000	792	0.6	0.15	4	15	0	1	;
	1577	705	100000	792	0.6	0.15	4	15	0	1	;
	705	1581	100000	528	0.4	0.15	4	15	0	1	;
	1581	705	100000	528	0.4	0.15	4	15	0	1	;
	910	1632	100000	264	0.2	0.15	4	15	0	1	;
	1632	910	100000	264	0.2	0.15	4	15	0	1	;
	704	1655	100000	739.2	0.56	0.15	4	15	0	1	;
	1655	704	100000	739.2	0.56	0.15	4	15	0	1	;
	908	1652	100000	686.4	0.52	0.15	4	15	0	1	;
	1652	908	100000	686.4	0.52	0.15	4	15	0	1	;
	704	1664	100000	369.6	0.28	0.15	4	15	0	1	;
	1664	704	100000	369.6	0.28	0.15	4	15	0	1	;
	704	1665	100000	475.2	0.36	0.15	4	15	0	1	;
	1665	704	100000	475.2	0.36	0.15	4	15	0	1	;
	719	1280	100000	369.6	0.28	0.15	4	15	0	1	;
	1280	719	100000	369.6	0.28	0.15	4	15	0	1	;
	704	1654	100000	316.8	0.24	0.15	4	15	0	1	;
	1654	704	100000	316.8	0.24	0.15	4	15	0	1	;
	719	1667	100000	475.2	0.36	0.15	4	15	0	1	;
	1667	719	100000	475.2	0.36	0.15	4	15	0	1	;
	908	1656	100000	316.8	0.24	0.15	4	15	0	1	;
	1656	908	100000	316.8	0.24	0.15	4	15	0	1	;
