<NUMBER OF ZONES> 41													
<NUMBER OF NODES> 44													
<FIRST THRU NODE> 1													
<NUMBER OF LINKS> 50													
<END OF METADATA>													
													
													
~	Init Node	Term Node	capacity	length	free flow time	B	power	SpeedLimit	Toll	Type	Flag	Index	;
	5	6	100	2	100	1	4	0	0	1	0	0	;
	5	8	100	2	100	1	4	0	0	1	0	0	;
	6	9	100	2	100	1	4	0	0	1	0	0	;
	7	8	100	2	100	1	4	0	0	1	0	0	;
	8	9	100	2	100	1	4	0	0	1	0	0	;
	6	5	100	2	100	1	4	0	0	1	0	0	;
	8	5	100	2	100	1	4	0	0	1	0	0	;
	9	6	100	2	100	1	4	0	0	1	0	0	;
	8	7	100	2	100	1	4	0	0	1	0	0	;
	9	8	100	2	100	1	4	0	0	1	0	0	;
	11	13	99999999	0	0	1	4	0	0	1	0	0	;
	12	14	99999999	0	0	1	4	0	0	1	0	0	;
	11	14	99999999	0	20	0	4	0	0	1	0	0	;
	12	13	99999999	0	20	0	4	0	0	1	0	0	;
	13	21	100	2	75	1	4	0	0	1	1	15	;
	14	22	100	2	100	1	4	0	0	1	1	14	;
	21	23	99999999	0	0	1	4	0	0	1	0	0	;
	22	24	99999999	0	0	1	4	0	0	1	0	0	;
	21	24	99999999	0	20	0	4	0	0	1	0	0	;
	22	23	99999999	0	20	0	4	0	0	1	0	0	;
	23	31	100	2	75	1	4	0	0	1	1	21	;
	24	32	100	2	100	1	4	0	0	1	1	20	;
	23	5	100	2	75	1	4	0	0	1	1	23	;
	24	5	100	2	100	1	4	0	0	1	1	22	;
	31	33	99999999	0	0	1	4	0	0	1	0	0	;
	32	34	99999999	0	0	1	4	0	0	1	0	0	;
	31	34	99999999	0	20	0	4	0	0	1	0	0	;
	32	33	99999999	0	20	0	4	0	0	1	0	0	;
	33	6	100	2	75	1	4	0	0	1	1	29	;
	34	6	100	2	100	1	4	0	0	1	1	28	;
	23	11	100	2	75	1	4	0	0	1	1	31	;
	24	12	100	2	100	1	4	0	0	1	1	30	;
	33	21	100	2	75	1	4	0	0	1	1	33	;
	34	22	100	2	100	1	4	0	0	1	1	32	;
	5	21	100	2	100	1	4	0	0	1	0	0	;
	6	31	100	2	100	1	4	0	0	1	0	0	;
	41	43	99999999	0	0	1	4	0	0	1	0	0	;
	42	44	99999999	0	0	1	4	0	0	1	0	0	;
	41	44	99999999	0	20	0	4	0	0	1	0	0	;
	42	43	99999999	0	20	0	4	0	0	1	0	0	;
	13	41	100	2	75	1	4	0	0	1	1	41	;
	14	42	100	2	100	1	4	0	0	1	1	40	;
	43	11	100	2	75	1	4	0	0	1	1	43	;
	44	12	100	2	100	1	4	0	0	1	1	42	;
	43	5	100	2	75	1	4	0	0	1	1	45	;
	44	5	100	2	100	1	4	0	0	1	1	44	;
	43	7	100	2	75	1	4	0	0	1	1	47	;
	44	7	100	2	100	1	4	0	0	1	1	46	;
	5	41	100	2	100	1	4	0	0	1	0	0	;
	7	41	100	2	100	1	4	0	0	1	0	0	;
