arg1: nctcog/PM_NCTCOG_net.csv, arg2: /Users/ribsthakkar/Downloads/am_inputMtx.csv, arg3: nctcog/PM_convertertable.csv, arg4: 4
Reading NCTCOG Network.../Users/ribsthakkar/Downloads/am_inputMtx.csv
Finished reading NCTCOG Network and trips
Starting Frank-Wolfe Variation Algorithm...
Iteration 0: gap 0.286406014131675, time 296.816
Iteration 1: gap 0.109883121453797, time 608.483
Iteration 2: gap 0.072756711246347, time 929.343
Iteration 3: gap 0.048261701844092, time 1250.734
Iteration 4: gap 0.041538952944954, time 1580.968
Iteration 5: gap 0.034772947270690, time 1906.881
Iteration 6: gap 0.029674664506237, time 2204.800
Iteration 7: gap 0.020482186901855, time 2499.422
Iteration 8: gap 0.020026262504171, time 2802.779
Iteration 9: gap 0.017870820892086, time 3114.004
Iteration 10: gap 0.018443418202920, time 3428.051
Iteration 11: gap 0.012967037414534, time 3766.374
Iteration 12: gap 0.010084236082483, time 4136.978
Iteration 13: gap 0.008475690055065, time 4460.275
Iteration 14: gap 0.006282784643858, time 4780.308
Iteration 15: gap 0.006285508793789, time 5117.687
Iteration 16: gap 0.005572646150196, time 5438.508
Iteration 17: gap 0.005815714924950, time 5759.830
Iteration 18: gap 0.004385797322341, time 6097.897
Iteration 19: gap 0.004209383467380, time 6402.358
Iteration 20: gap 0.004330530075576, time 6723.203
Iteration 21: gap 0.003190033145623, time 7036.462
Iteration 22: gap 0.002460052654199, time 7365.849
Iteration 23: gap 0.002211444171866, time 7731.468
Iteration 24: gap 0.002107245870052, time 8052.953
Iteration 25: gap 0.001901829771054, time 8347.984
Iteration 26: gap 0.001649516707329, time 8614.534
Iteration 27: gap 0.001794014456831, time 8869.707
Iteration 28: gap 0.001619798720108, time 9125.275
Iteration 29: gap 0.001322436578919, time 9380.071
Iteration 30: gap 0.001055947171914, time 9631.451
Iteration 31: gap 0.001024175750124, time 9885.434
Iteration 32: gap 0.001081115564250, time 10139.836
Iteration 33: gap 0.001237349318203, time 10391.992
Iteration 34: gap 0.001025380192062, time 10642.366
Iteration 35: gap 0.001062987436041, time 10896.217
Iteration 36: gap 0.000975216617505, time 11148.493
Iteration 37: gap 0.000774307900840, time 11401.022
Iteration 38: gap 0.000662357409830, time 11654.925
Iteration 39: gap 0.000648407756631, time 11907.140
Iteration 40: gap 0.000680571923293, time 12160.549
Iteration 41: gap 0.000709315574057, time 12429.011
Iteration 42: gap 0.000703586401758, time 12706.023
Iteration 43: gap 0.000671310955905, time 12972.335
Iteration 44: gap 0.000701645246131, time 13234.046
Iteration 45: gap 0.000580484754217, time 13498.065
Iteration 46: gap 0.000561254185178, time 13789.102
Iteration 47: gap 0.000610845228839, time 14100.984
Iteration 48: gap 0.000588718141055, time 14431.442
Iteration 49: gap 0.000446197347907, time 14771.507
Iteration 50: gap 0.000411342749396, time 15095.513
Iteration 51: gap 0.000404602825061, time 15410.053
Iteration 52: gap 0.000358355425252, time 15743.378
Iteration 53: gap 0.000385353810677, time 16059.247
Iteration 54: gap 0.000458587033301, time 16379.802
Iteration 55: gap 0.000481003187910, time 16698.971
Iteration 56: gap 0.000405713051910, time 17016.630
Iteration 57: gap 0.000362556399598, time 17338.916
Iteration 58: gap 0.000346851248470, time 17656.887
Iteration 59: gap 0.000342177120089, time 17969.994
Iteration 60: gap 0.000323268943556, time 18287.042
Iteration 61: gap 0.000286608292176, time 18593.491
Iteration 62: gap 0.000256428019154, time 18903.243
Iteration 63: gap 0.000310402108048, time 19243.785
Iteration 64: gap 0.000313093354922, time 19646.790
Iteration 65: gap 0.000281907603197, time 19918.149
Iteration 66: gap 0.000278495821819, time 20272.573
Iteration 67: gap 0.000383417191823, time 20635.359
Iteration 68: gap 0.000362831372759, time 21031.695
Iteration 69: gap 0.000236793397153, time 21397.165
Iteration 70: gap 0.000257392873333, time 21750.899
Iteration 71: gap 0.000270420021516, time 22097.645
Iteration 72: gap 0.000216122574810, time 22466.758
Iteration 73: gap 0.000219793716707, time 22800.905
Iteration 74: gap 0.000200478288435, time 23129.703
Iteration 75: gap 0.000192164868183, time 23411.092
Iteration 76: gap 0.000236814080014, time 23667.313
Iteration 77: gap 0.000272050844183, time 23936.025
Iteration 78: gap 0.000298108179290, time 24198.902
Iteration 79: gap 0.000193081365503, time 24689.071
Iteration 80: gap 0.000190714542922, time 25142.923
